Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-30 16:20:00-05:00,96.46,96.54,96.43,96.44,0,0,0
2022-11-30 16:21:00-05:00,96.43,96.54,96.4,96.42,0,0,0
2022-11-30 16:22:00-05:00,96.415,96.54,96.4,96.47,0,0,0
2022-11-30 16:23:00-05:00,96.48,96.54,96.47,96.5,0,0,0
2022-11-30 16:24:00-05:00,96.5,96.5,96.47,96.5,0,0,0
2022-11-30 16:25:00-05:00,96.49,96.5,96.43,96.43,0,0,0
2022-11-30 16:26:00-05:00,96.45,96.48,96.4,96.44,0,0,0
2022-11-30 16:27:00-05:00,96.48,96.54,96.4,96.46,0,0,0
2022-11-30 16:28:00-05:00,96.48,96.49,96.41,96.48,0,0,0
2022-11-30 16:29:00-05:00,96.44,96.53,96.44,96.48,0,0,0
2022-11-30 16:30:00-05:00,96.48,96.54,96.4,96.48,0,0,0
2022-11-30 16:31:00-05:00,96.49,96.56,96.44,96.52,0,0,0
2022-11-30 16:32:00-05:00,96.52,96.56,96.46,96.5,0,0,0
2022-11-30 16:33:00-05:00,96.45,96.55,96.45,96.55,0,0,0
2022-11-30 16:34:00-05:00,96.52,96.61,96.52,96.61,0,0,0
2022-11-30 16:35:00-05:00,96.6171,96.68,96.6,96.67,0,0,0
2022-11-30 16:36:00-05:00,96.67,96.72,96.63,96.709,0,0,0
2022-11-30 16:37:00-05:00,96.69,96.71,96.66,96.67,0,0,0
2022-11-30 16:38:00-05:00,96.68,96.74,96.66,96.71,0,0,0
